pk_porg,pk_account,fk_financial_year
10089,30070146,202425
10128,10010027,202425
10131,10010030,202425
10142,10010041,202425
10149,10010048,202425
10152,10010051,202425
10153,10009095,202425
10160,30043538,202425
10164,10000367,202425
10171,10002868,202425
10194,10010093,202425
10198,30096147,202425
10208,10002185,202425
10208,10018393,202425
10208,10018536,202425
10208,10020964,202425
10223,10010122,202425
10242,10010141,202425
10255,10010154,202425
10259,10009838,202425
10261,10006018,202425
10264,30004318,202425
10265,10002276,202425
10271,30070124,202425
10274,30052904,202425
10303,30075463,202425
10317,10010216,202425
10335,30073849,202425
10337,10010236,202425
10346,10011887,202425
10349,10010248,202425
10353,10009108,202425
10357,10010256,202425
10360,10010259,202425
10365,10010264,202425
10377,30070084,202425
10381,30113538,202425
10389,10005083,202425
10397,10010296,202425
10469,10010368,202425
10487,10012280,202425
10493,30067209,202425
10531,30072386,202425
10556,10010455,202425
10569,10010468,202425
10573,30072379,202425
10584,10010483,202425
10592,10010491,202425
10614,10010513,202425
10622,30066613,202425
10629,10010527,202425
10630,30007528,202425
10638,30045945,202425
10640,10012209,202425
10641,10010540,202425
10665,10009066,202425
10670,10010569,202425
10672,10010571,202425
10691,30049744,202425
10692,10010591,202425
10708,30013345,202425
10709,10010608,202425
10717,10005483,202425
10723,10013549,202425
10726,10004415,202425
10738,10010637,202425
10785,10010684,202425
10789,10010688,202425
10798,10010697,202425
10809,10019558,202425
10809,10022103,202425
10849,30004631,202425
10862,30029681,202425
10886,30045855,202425
10897,10010796,202425
10901,10012614,202425
10902,10010801,202425
10909,10010808,202425
10910,30012739,202425
10912,10010811,202425
10918,10010817,202425
10924,10010823,202425
10951,10010850,202425
10955,10011697,202425
11001,30057206,202425
11006,10010905,202425
11007,10010906,202425
11009,10010908,202425
11010,10007286,202425
11012,10001699,202425
11013,10010912,202425
11017,10010916,202425
11021,10010920,202425
11028,10010927,202425
11029,10010928,202425
11038,10010937,202425
11041,10010940,202425
11050,10010949,202425
11056,10010956,202425
11085,10010984,202425
11122,10011021,202425
11123,10011022,202425
11124,10010560,202425
11133,10011032,202425
11136,10011035,202425
11154,10011053,202425
11169,10011068,202425
11171,10011070,202425
11173,10011161,202425
11189,10011088,202425
11196,10011095,202425
11205,10011104,202425
11207,30099587,202425
11208,30078304,202425
11215,10011114,202425
11216,30021482,202425
11226,10002514,202425
11229,10011128,202425
11231,10011130,202425
11242,10011141,202425
11294,10000209,202425
11300,10011199,202425
11302,30091865,202425
11303,30049756,202425
11305,10011395,202425
11318,10011217,202425
11324,10011223,202425
11338,10011237,202425
11341,10011240,202425
11345,10011244,202425
11353,30007830,202425
11359,10011258,202425
11360,30090696,202425
11364,10009604,202425
11391,10011290,202425
11404,10011303,202425
11422,10011321,202425
11430,10009893,202425
11440,10011339,202425
11449,10011348,202425
11471,10011370,202425
11473,10011372,202425
11475,10006072,202425
11484,10011383,202425
11499,10011470,202425
11502,10011401,202425
11511,10011410,202425
11512,30070288,202425
11516,10011415,202425
11522,10011421,202425
11550,10011449,202425
11569,30012190,202425
11577,10011476,202425
11589,10011488,202425
11594,10011493,202425
11597,10011496,202425
11598,30047226,202425
11605,10011504,202425
11622,10011521,202425
11629,10011528,202425
11630,10011529,202425
11634,10011533,202425
11644,10011543,202425
11645,10011544,202425
11667,10011566,202425
11688,10011587,202425
11690,10006873,202425
11695,10011594,202425
11718,10007781,202425
11725,10011624,202425
11743,10011642,202425
11749,30048655,202425
11755,10011654,202425
11768,10011667,202425
11773,10011672,202425
11773,10013520,202425
11776,10011676,202425
11874,10011773,202425
11887,30022835,202425
11896,30004325,202425
11922,10011821,202425
11941,10012685,202425
11942,10003983,202425
11952,10004636,202425
11952,10011851,202425
11952,10021811,202425
11991,10011890,202425
11994,10011893,202425
12003,30070122,202425
12019,30061081,202425
12024,10011515,202425
12027,30059284,202425
12032,10011931,202425
12050,10011949,202425
12073,10000517,202425
12083,10011982,202425
12121,30061079,202425
12154,10012053,202425
12167,10012066,202425
12175,10015239,202425
12186,10012085,202425
12226,10008199,202425
12226,10008200,202425
12226,10008359,202425
12226,10008497,202425
12226,10010282,202425
12226,10012125,202425
12354,10012253,202425
12366,10010670,202425
12376,10012275,202425
12399,10001937,202425
12400,10012754,202425
12402,10012301,202425
12453,10012352,202425
12454,30073859,202425
12465,10012364,202425
12470,10008645,202425
12480,10012379,202425
12488,30048653,202425
12490,10012389,202425
12500,10004976,202425
12503,10012402,202425
12511,30004511,202425
12543,30120550,202425
12571,10003040,202425
12571,10012213,202425
12571,10012461,202425
12571,10012462,202425
12571,10015237,202425
12571,10015779,202425
12571,10020490,202425
12571,10020781,202425
12571,10021615,202425
12578,10001420,202425
12643,10012542,202425
12649,10012548,202425
12700,10012599,202425
12723,10012622,202425
12744,10012643,202425
12745,10012644,202425
12754,10012653,202425
12755,30057194,202425
12760,10012659,202425
12762,10012661,202425
12765,10012664,202425
12800,10013301,202425
12819,10012718,202425
12822,10012721,202425
12825,10012724,202425
12827,10012726,202425
12851,10012750,202425
12856,10001843,202425
12859,10012758,202425
12867,10012766,202425
12869,10012768,202425
12890,30043542,202425
12894,10012793,202425
12898,10012797,202425
12912,10016747,202425
12922,30066617,202425
12984,10000108,202425
12987,10012886,202425
12999,10012898,202425
13006,10010490,202425
13010,10012909,202425
13011,30079060,202425
13025,30004921,202425
13026,10012925,202425
13026,10012926,202425
13035,30004910,202425
13060,10020880,202425
13061,10012960,202425
13065,10012964,202425
13075,10012974,202425
13123,30015167,202425
13137,10013036,202425
13139,10013038,202425
13141,10012420,202425
13152,30011418,202425
13154,30080703,202425
13156,10009240,202425
13158,10013057,202425
13159,10013058,202425
13161,10013060,202425
13208,10013107,202425
13210,30079898,202425
13227,30115081,202425
13233,30008271,202425
13237,10013136,202425
13243,10013142,202425
13254,10013153,202425
13267,30079689,202425
13284,10013183,202425
13299,10013198,202425
13311,10013210,202425
13316,10013215,202425
13318,10013217,202425
13320,10013219,202425
13321,10013220,202425
13322,10013221,202425
13322,10013223,202425
13323,10013222,202425
13327,10013226,202425
13331,10013230,202425
